reference_period,type_of_service,aggregation_level,state,county,state_fips,county_fips,number_of_fee_for_service_beneficiaries,number_of_providers,average_number_of_users_per_provider,percentage_of_users_out_of_ffs_beneficiaries,number_of_users,average_number_of_providers_per_county,number_of_dual_eligible_users,percentage_of_dual_eligible_users_out_of_total_users,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries,total_payment,moratorium,number_of_fee_for_service_beneficiaries_dual_color,number_of_fee_for_service_beneficiaries_description,number_of_providers_dual_color,number_of_providers_description,average_number_of_users_per_provider_dual_color,average_number_of_users_per_provider_description,percentage_of_users_out_of_ffs_beneficiaries_dual_color,percentage_of_users_out_of_ffs_beneficiaries_description,number_of_users_dual_color,number_of_users_description,average_number_of_providers_per_county_dual_color,average_number_of_providers_per_county_description,number_of_dual_eligible_users_dual_color,number_of_dual_eligible_users_description,percentage_of_dual_eligible_users_out_of_total_users_dual_color,percentage_of_dual_eligible_users_out_of_total_users_description,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_dual_color,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_description,total_payment_dual_color,total_payment_description,number_of_fee_for_service_beneficiaries_change,number_of_providers_change,average_number_of_users_per_provider_change,percentage_of_users_out_of_ffs_beneficiaries_change,number_of_users_change,average_number_of_providers_per_county_change,number_of_dual_eligible_users_change,percentage_of_dual_eligible_users_out_of_total_users_change,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_change,total_payment_change
"2022-07-01 to 2023-06-30","Independent Diagnostic Testing Facility Pt A",COUNTY,MI,WAYNE,26,163,"161,268",81,936.14,47.02%,"75,827",81,"17,617",23.23%,50.68%,"$203,360,316.86",No,"BLUE 5","Extreme Values (More than 21,283 Beneficiaries)","BLUE 5","Extreme Values (More than 36 Providers)","BLUE 5","Extreme Values (More than 601.96 Users)","BLUE 3","Third Lowest 25% (43.85% - 52.42% of Users)","BLUE 5","Extreme Values (More than 10,744 Users)","BLUE 5","Extreme Values (More than 36.99 Providers)","BLUE 5","Extreme Values (More than 1,335 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (15.72% - 26.66% of Total Users)","BLUE 3","Third Lowest 25% (45.48% - 53.72% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $29,495,638.68 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30","Independent Diagnostic Testing Facility Pt B",COUNTY,MI,WAYNE,26,163,"161,531",45,137.40,3.83%,"6,183",45,"1,696",27.43%,4.86%,"$2,327,703.69",No,"BLUE 5","Extreme Values (More than 22,085 Beneficiaries)","BLUE 5","Extreme Values (More than 21 Providers)","BLUE 5","Extreme Values (More than 127.04 Users)","BLUE 1","Lowest 25% (Less than 3.94% of Users)","BLUE 5","Extreme Values (More than 1,345 Users)","BLUE 5","Extreme Values (More than 21.99 Providers)","BLUE 5","Extreme Values (More than 189 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (15.83% - 27.60% of Total Users)","BLUE 2","Second Lowest 25% (3.88% - 5.22% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $466,167.88 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30","Long-Term Care Hospitals",COUNTY,MI,WAYNE,26,163,"161,268",7,65.43,0.28%,458,7,171,37.34%,0.49%,"$25,105,916.55",No,"BLUE 5","Extreme Values (More than 82,013 Beneficiaries)","BLUE 5","Extreme Values (More than 2 Providers)","BLUE 4","Top 25% Excl. Extreme Values (51.00 - 95.99 Users)","BLUE 3","Third Lowest 25% (0.20% - 0.38% of Users)","BLUE 5","Extreme Values (More than 108 Users)","BLUE 5","Extreme Values (More than 2.49 Providers)","BLUE 5","Extreme Values (More than 73 Dual Eligible Users)","BLUE 3","Third Lowest 25% (30.23% - 40.73% of Total Users)","BLUE 2","Second Lowest 25% (0.31% - 0.55% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,637,287.42 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30",Neurology,COUNTY,MI,WAYNE,26,163,"161,846",74,45.26,2.07%,"3,349",74,"1,168",34.88%,3.36%,"$668,970.52",No,"BLUE 5","Extreme Values (More than 28,405 Beneficiaries)","BLUE 5","Extreme Values (More than 4 Providers)","BLUE 2","Second Lowest 25% (39.00 - 49.99 Users)","BLUE 5","Extreme Values (More than 2.00% of Users)","BLUE 5","Extreme Values (More than 302 Users)","BLUE 5","Extreme Values (More than 4.99 Providers)","BLUE 5","Extreme Values (More than 107 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (22.92% - 40.16% of Total Users)","BLUE 5","Extreme Values (More than 3.15% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $40,918.98 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30",Ophthalmology,COUNTY,MI,WAYNE,26,163,"161,531",419,102.00,26.46%,"42,736",419,"7,928",18.55%,22.71%,"$27,555,750.95",No,"BLUE 5","Extreme Values (More than 21,299 Beneficiaries)","BLUE 5","Extreme Values (More than 91 Providers)","BLUE 4","Top 25% Excl. Extreme Values (78.18 - 138.50 Users)","BLUE 1","Lowest 25% (Less than 27.51% of Users)","BLUE 5","Extreme Values (More than 6,905 Users)","BLUE 5","Extreme Values (More than 91.74 Providers)","BLUE 5","Extreme Values (More than 603 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (12.30% - 21.89% of Total Users)","BLUE 2","Second Lowest 25% (19.91% - 22.97% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,151,814.18 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30","Physical & Occupational Therapy",COUNTY,MI,WAYNE,26,163,"161,531",478,24.81,7.34%,"11,858",478,"2,370",19.99%,6.79%,"$14,282,694.39",No,"BLUE 5","Extreme Values (More than 22,078 Beneficiaries)","BLUE 5","Extreme Values (More than 50 Providers)","BLUE 1","Lowest 25% (Less than 29.58 Users)","BLUE 3","Third Lowest 25% (6.58% - 9.36% of Users)","BLUE 5","Extreme Values (More than 1,852 Users)","BLUE 5","Extreme Values (More than 50.99 Providers)","BLUE 5","Extreme Values (More than 204 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (11.97% - 21.86% of Total Users","BLUE 3","Third Lowest 25% (5.10% - 6.94% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,632,610.05 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30","Podiatry Services",COUNTY,MI,WAYNE,26,163,"161,531",271,98.19,16.47%,"26,610",271,"7,676",28.85%,21.99%,"$6,164,370.07",No,"BLUE 5","Extreme Values (More than 21,827 Beneficiaries)","BLUE 5","Extreme Values (More than 30 Providers)","BLUE 4","Top 25% Excl. Extreme Values (92.60 - 174.19 Users)","BLUE 4","Top 25% Excl. Extreme Values (11.55% - 18.79% of Users)","BLUE 5","Extreme Values (More than 2,343 Users)","BLUE 5","Extreme Values (More than 30.49 Providers)","BLUE 5","Extreme Values (More than 402 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (22.87% - 38.94% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (17.77% - 29.28% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $445,943.84 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30","Preventive Health Services",COUNTY,MI,WAYNE,26,163,"161,531","1,933",43.67,52.26%,"84,421","1,933.00","19,801",23.46%,56.73%,"$14,218,849.89",No,"BLUE 5","Extreme Values (More than 21,277 Beneficiaries)","BLUE 5","Extreme Values (More than 248 Providers)","BLUE 2","Second Lowest 25% (35.71 - 44.80 Users)","BLUE 2","Second Lowest 25% (46.82% - 55.06% of Users)","BLUE 5","Extreme Values (More than 12,519 Users)","BLUE 5","Extreme Values (More than 248.49 Providers)","BLUE 5","Extreme Values (More than 1,341 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (14.18% - 24.57% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (56.62% - 77.37% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,064,363.27 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30",Psychotherapy,COUNTY,MI,WAYNE,26,163,"161,531",357,32.36,7.15%,"11,552",357,"4,809",41.63%,13.78%,"$8,114,478.36",No,"BLUE 5","Extreme Values (More than 22,961 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 1","Lowest 25% (Less than 36.86 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.45% - 7.29% of Users)","BLUE 5","Extreme Values (More than 965 Users)","BLUE 5","Extreme Values (More than 24.99 Providers)","BLUE 5","Extreme Values (More than 339 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (40.83% - 65.65% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (13.43% - 22.74% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $517,241.79 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30",Pulmonology,COUNTY,MI,WAYNE,26,163,"161,531","1,223",29.64,22.44%,"36,249","1,223.00","9,054",24.98%,25.94%,"$6,182,459.44",No,"BLUE 5","Extreme Values (More than 21,334 Beneficiaries)","BLUE 5","Extreme Values (More than 138 Providers)","BLUE 1","Lowest 25% (Less than 37.49 Users)","BLUE 3","Third Lowest 25% (21.97% - 24.85% of Users)","BLUE 5","Extreme Values (More than 5,072 Users)","BLUE 5","Extreme Values (More than 138.99 Providers)","BLUE 5","Extreme Values (More than 596 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (15.02% - 25.42% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (24.10% - 32.24% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $806,869.72 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30","Skilled Nursing Facility",COUNTY,MI,WAYNE,26,163,"161,268",101,56.93,3.57%,"5,750",101,"1,708",29.70%,4.91%,"$92,883,704.24",No,"BLUE 5","Extreme Values (More than 23,434 Beneficiaries)","BLUE 5","Extreme Values (More than 13 Providers)","BLUE 3","Third Lowest 25% (48.00 - 62.99 Users)","BLUE 3","Third Lowest 25% (3.11% - 3.85% of Users)","BLUE 5","Extreme Values (More than 743 Users)","BLUE 5","Extreme Values (More than 13.49 Providers)","BLUE 5","Extreme Values (More than 197 Dual Eligible Users)","BLUE 3","Third Lowest 25% (24.55% - 32.36% of Total Users)","BLUE 2","Second Lowest 25% (4.81% - 6.38% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $12,854,902.70 )"," "," "," "," "," "," "," "," "," "," "
"2022-07-01 to 2023-06-30",Telemedicine,COUNTY,MI,WAYNE,26,163,"161,531",219,47.53,6.44%,"10,409",219,"4,085",39.24%,11.70%,"$2,477,323.38",No,"BLUE 5","Extreme Values (More than 22,343 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 2","Second Lowest 25% (44.28 - 57.86 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.12% - 7.11% of Users)","BLUE 5","Extreme Values (More than 725 Users)","BLUE 5","Extreme Values (More than 14.99 Providers)","BLUE 5","Extreme Values (More than 224 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (35.35% - 59.46% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (9.46% - 16.31% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $133,887.04 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"161,060",66,268.71,11.01%,"17,735",66,"6,088",34.33%,18.05%,"$15,719,200.72",No,"BLUE 5","Extreme Values (More than 21,871 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 251.92 Users)","BLUE 3","Third Lowest 25% (10.52% - 11.95% of Users)","BLUE 5","Extreme Values (More than 2,359 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 535 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (27.67% - 44.97% of Total Users)","BLUE 2","Second Lowest 25% (16.19% - 19.22% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,329,923.35 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"161,060",65,234.51,9.46%,"15,243",65,"5,327",34.95%,15.79%,"$10,903,758.54",No,"BLUE 5","Extreme Values (More than 21,936 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 4","Top 25% Excl. Extreme Values (168.84 - 333.02 Users)","BLUE 2","Second Lowest 25% (7.58% - 9.48% of Users)","BLUE 5","Extreme Values (More than 2,172 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 505 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (28.26% - 45.88% of Total Users)","BLUE 2","Second Lowest 25% (14.81% - 17.68% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,726,009.98 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Ambulance (Non-Emergency)",COUNTY,MI,WAYNE,26,163,"161,060",66,126.15,5.17%,"8,326",66,"2,864",34.40%,8.49%,"$4,730,602.01",No,"BLUE 5","Extreme Values (More than 23,700 Beneficiaries)","BLUE 5","Extreme Values (More than 22 Providers)","BLUE 5","Extreme Values (More than 85.49 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.73% - 8.56% of Users)","BLUE 5","Extreme Values (More than 830 Users)","BLUE 5","Extreme Values (More than 22.99 Providers)","BLUE 5","Extreme Values (More than 230 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (31.30% - 50.22% of Total Users)","BLUE 3","Third Lowest 25% (7.69% - 10.06% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $600,218.94 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Cardiac Rehabilitation Program",COUNTY,MI,WAYNE,26,163,"160,583",14,48.93,0.43%,685,14,83,12.12%,0.25%,"$2,757,532.16",No,"BLUE 5","Extreme Values (More than 33,316 Beneficiaries)","BLUE 5","Extreme Values (More than 3 Providers)","BLUE 3","Third Lowest 25% (34.00 - 54.58 Users)","BLUE 2","Second Lowest 25% (0.42% - 0.59% of Users)","BLUE 5","Extreme Values (More than 175 Users)","BLUE 5","Extreme Values (More than 3.49 Providers)","BLUE 5","Extreme Values (More than 55 Dual Eligible Users)","BLUE 3","Third Lowest 25% (8.12% - 12.55% of Total Users)","BLUE 2","Second Lowest 25% (0.19% - 0.32% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,199,460.34 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Chiropractic Services",COUNTY,MI,WAYNE,26,163,"161,060",164,30.93,3.15%,"5,073",164,485,9.56%,1.44%,"$1,849,049.85",No,"BLUE 5","Extreme Values (More than 22,506 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 1","Lowest 25% (Less than 35.32 Users)","BLUE 2","Second Lowest 25% (2.71% - 4.21% of Users)","BLUE 5","Extreme Values (More than 1,145 Users)","BLUE 5","Extreme Values (More than 24.49 Providers)","BLUE 5","Extreme Values (More than 100 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (9.21% - 17.21% of Total Users)","BLUE 1","Lowest 25% (Less than 1.50% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $289,758.85 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Clinical Laboratory (Billing Independently)",COUNTY,MI,WAYNE,26,163,"161,060",154,276.85,26.47%,"42,635",154,"13,760",32.27%,40.79%,"$16,764,170.83",No,"BLUE 5","Extreme Values (More than 21,433 Beneficiaries)","BLUE 5","Extreme Values (More than 57 Providers)","BLUE 5","Extreme Values (More than 260.99 Users)","BLUE 2","Second Lowest 25% (20.04% - 34.88% of Users)","BLUE 5","Extreme Values (More than 7,998 Users)","BLUE 5","Extreme Values (More than 57.99 Providers)","BLUE 5","Extreme Values (More than 1,075 Dual Eligible Users)","BLUE 5","Extreme Values (More than 29.38% of Total Users)","BLUE 3","Third Lowest 25% (39.30% - 51.48% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,228,201.77 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30",Dialysis,COUNTY,MI,WAYNE,26,163,"160,583",67,31.70,1.32%,"2,124",67,981,46.19%,2.92%,"$48,868,048.18",No,"BLUE 5","Extreme Values (More than 31,510 Beneficiaries)","BLUE 5","Extreme Values (More than 5 Providers)","BLUE 3","Third Lowest 25% (29.66 - 39.39 Users)","BLUE 4","Top 25% Excl. Extreme Values (0.85% - 1.43% of Users)","BLUE 5","Extreme Values (More than 184 Users)","BLUE 5","Extreme Values (More than 5.99 Providers)","BLUE 5","Extreme Values (More than 112 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (43.04% - 65.80% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (2.82% - 4.87% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,269,391.57 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Federally Qualified Health Center (FQHC)",COUNTY,MI,WAYNE,26,163,"160,583",31,68.13,1.32%,"2,112",31,"1,341",63.49%,3.99%,"$757,852.82",No,"BLUE 5","Extreme Values (More than 26,126 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 2","Second Lowest 25% (45.00 - 71.66 Users)","BLUE 1","Lowest 25% (Less than 1.35% of Users)","BLUE 5","Extreme Values (More than 1,143 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 434 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (44.11% - 76.40% of Total Users)","BLUE 1","Lowest 25% (Less than 6.13% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $566,459.59 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Home Health",COUNTY,MI,WAYNE,26,163,"160,583",157,88.29,8.63%,"13,862",157,"4,225",30.48%,12.56%,"$66,849,271.65",No,"BLUE 5","Extreme Values (More than 22,235 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 3","Third Lowest 25% (64.00 - 116.49 Users)","BLUE 4","Top 25% Excl. Extreme Values (7.72% - 12.53% of Users)","BLUE 5","Extreme Values (More than 1,458 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 271 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (20.51% - 34.51% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (10.54% - 16.88% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,923,567.81 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30",Hospice,COUNTY,MI,WAYNE,26,163,"160,583",44,72.32,1.98%,"3,182",44,584,18.35%,1.74%,"$38,088,942.48",No,"BLUE 5","Extreme Values (More than 23,233 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 4","Top 25% Excl. Extreme Values (71.00 - 129.49 Users)","BLUE 1","Lowest 25% (Less than 2.01% of Users)","BLUE 5","Extreme Values (More than 574 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 117 Dual Eligible Users)","BLUE 3","Third Lowest 25% (16.90% - 22.70% of Total Users)","BLUE 1","Lowest 25% (Less than 2.61% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,988,245.41 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Independent Diagnostic Testing Facility Pt A",COUNTY,MI,WAYNE,26,163,"160,583",83,900.67,46.55%,"74,756",83,"17,094",22.87%,50.83%,"$201,950,835.95",No,"BLUE 5","Extreme Values (More than 21,310 Beneficiaries)","BLUE 5","Extreme Values (More than 36 Providers)","BLUE 5","Extreme Values (More than 590.28 Users)","BLUE 3","Third Lowest 25% (43.31% - 51.77% of Users)","BLUE 5","Extreme Values (More than 10,549 Users)","BLUE 5","Extreme Values (More than 36.99 Providers)","BLUE 5","Extreme Values (More than 1,308 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (15.57% - 26.56% of Total Users)","BLUE 3","Third Lowest 25% (44.67% - 52.83% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $29,978,715.29 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Independent Diagnostic Testing Facility Pt B",COUNTY,MI,WAYNE,26,163,"161,060",41,148.56,3.78%,"6,091",41,"1,618",26.56%,4.80%,"$2,230,746.03",No,"BLUE 5","Extreme Values (More than 22,128 Beneficiaries)","BLUE 5","Extreme Values (More than 21 Providers)","BLUE 5","Extreme Values (More than 128.40 Users)","BLUE 1","Lowest 25% (Less than 3.97% of Users)","BLUE 5","Extreme Values (More than 1,335 Users)","BLUE 5","Extreme Values (More than 21.99 Providers)","BLUE 5","Extreme Values (More than 184 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (15.61% - 27.32% of Total Users)","BLUE 2","Second Lowest 25% (3.91% - 5.21% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $464,800.46 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Long-Term Care Hospitals",COUNTY,MI,WAYNE,26,163,"160,583",7,63.71,0.28%,446,7,166,37.22%,0.49%,"$24,500,075.37",No,"BLUE 5","Extreme Values (More than 84,541 Beneficiaries)","BLUE 5","Extreme Values (More than 2 Providers)","BLUE 4","Top 25% Excl. Extreme Values (50.00 - 94.99 Users)","BLUE 3","Third Lowest 25% (0.18% - 0.35% of Users)","BLUE 5","Extreme Values (More than 105 Users)","BLUE 5","Extreme Values (More than 2.49 Providers)","BLUE 5","Extreme Values (More than 72 Dual Eligible Users)","BLUE 3","Third Lowest 25% (31.64% - 42.10% of Total Users)","BLUE 2","Second Lowest 25% (0.33% - 0.54% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,449,639.92 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30",Neurology,COUNTY,MI,WAYNE,26,163,"161,148",75,42.99,2.00%,"3,224",75,"1,078",33.44%,3.20%,"$639,215.99",No,"BLUE 5","Extreme Values (More than 28,613 Beneficiaries)","BLUE 5","Extreme Values (More than 4 Providers)","BLUE 2","Second Lowest 25% (38.83 - 51.49 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.24% - 2.00% of Users)","BLUE 5","Extreme Values (More than 307 Users)","BLUE 5","Extreme Values (More than 4.99 Providers)","BLUE 5","Extreme Values (More than 108 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (22.35% - 39.65% of Total Users)","BLUE 5","Extreme Values (More than 3.19% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $41,699.22 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30",Ophthalmology,COUNTY,MI,WAYNE,26,163,"161,060",425,99.60,26.28%,"42,329",425,"7,721",18.24%,22.89%,"$27,735,643.95",No,"BLUE 5","Extreme Values (More than 21,424 Beneficiaries)","BLUE 5","Extreme Values (More than 92 Providers)","BLUE 4","Top 25% Excl. Extreme Values (77.76 - 137.77 Users)","BLUE 1","Lowest 25% (Less than 27.29% of Users)","BLUE 5","Extreme Values (More than 6,875 Users)","BLUE 5","Extreme Values (More than 92.99 Providers)","BLUE 5","Extreme Values (More than 589 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (12.04% - 21.47% of Total Users)","BLUE 3","Third Lowest 25% (22.55% - 26.13% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,173,061.11 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Physical & Occupational Therapy",COUNTY,MI,WAYNE,26,163,"161,060",476,25.44,7.52%,"12,109",476,"2,312",19.09%,6.85%,"$14,236,057.89",No,"BLUE 5","Extreme Values (More than 22,182 Beneficiaries)","BLUE 5","Extreme Values (More than 53 Providers)","BLUE 1","Lowest 25% (Less than 29.62 Users)","BLUE 3","Third Lowest 25% (6.62% - 9.44% of Users)","BLUE 5","Extreme Values (More than 1,889 Users)","BLUE 5","Extreme Values (More than 53.49 Providers)","BLUE 5","Extreme Values (More than 202 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (11.62% - 21.11% of Total Users","BLUE 3","Third Lowest 25% (5.12% - 6.93% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,646,259.92 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Podiatry Services",COUNTY,MI,WAYNE,26,163,"161,060",271,96.73,16.28%,"26,213",271,"7,342",28.01%,21.77%,"$6,091,629.75",No,"BLUE 5","Extreme Values (More than 21,967 Beneficiaries)","BLUE 5","Extreme Values (More than 30 Providers)","BLUE 4","Top 25% Excl. Extreme Values (92.75 - 174.87 Users)","BLUE 4","Top 25% Excl. Extreme Values (11.55% - 18.85% of Users)","BLUE 5","Extreme Values (More than 2,361 Users)","BLUE 5","Extreme Values (More than 30.49 Providers)","BLUE 5","Extreme Values (More than 398 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (22.57% - 38.48% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (17.71% - 29.18% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $437,970.75 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30","Preventive Health Services",COUNTY,MI,WAYNE,26,163,"161,060","1,928",42.84,51.29%,"82,604","1,928.00","19,186",23.23%,56.88%,"$13,990,754.97",No,"BLUE 5","Extreme Values (More than 21,424 Beneficiaries)","BLUE 5","Extreme Values (More than 245 Providers)","BLUE 2","Second Lowest 25% (35.38 - 44.06 Users)","BLUE 2","Second Lowest 25% (45.65% - 53.85% of Users)","BLUE 5","Extreme Values (More than 12,374 Users)","BLUE 5","Extreme Values (More than 245.99 Providers)","BLUE 5","Extreme Values (More than 1,322 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (13.99% - 24.21% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (55.84% - 78.57% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,065,541.61 )"," "," "," "," "," "," "," "," "," "," "
"2022-10-01 to 2023-09-30",Psychotherapy,COUNTY,MI,WAYNE,26,163,"161,060",343,33.10,7.05%,"11,353",343,"4,662",41.06%,13.82%,"$7,661,288.30",No,"BLUE 5","Extreme Values (More than 23,029 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 1","Lowest 25% (Less than 37.00 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.43% - 7.27% of Users)","BLUE 5","Extreme Values (More than 961 Users)","BLUE 5","Extreme Values (More than 24.99 Providers)","BLUE 5","Extreme Values (More than 331 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (40.31% - 64.95% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (13.33% - 22.59% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $516,540.45 )"," "," "," "," "," "," "," "," "," "," "
